,title,author,rating,publisher,page_count,generes,language
1,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.2999999999999998,Kensington Publishing Corp.,288,Fiction,English
2,"The Painted Man (The Demon Cycle, Book 1)",Peter V. Brett,4.5,HarperCollins UK,544,Fiction,English
3,Edgedancer: From the Stormlight Archive,Brandon Sanderson,4.7999999999999998,Tor Books,226,Fiction,English
4,Sword of Destiny: Witcher 2: Tales of the Witcher,Andrzej Sapkowski,4.7999999999999998,Hachette UK,400,Fiction,English
5,Deadpool Kills the Marvel Universe,Cullen Bunn,4.2000000000000002,Marvel Entertainment,96,Comics,English
6,After Anna,Alex Lake,4.0999999999999996,HarperCollins UK,416,Fiction,English
7,How To Win Friends and Influence People,Dale Carnegie,4.2999999999999998,Simon and Schuster,320,Economics,English
8,Little Girl Lost: A Lucy Black Thriller,Brian McGilloway,4,Harper Collins,336,Fiction,English
9,The Guardians: The explosive new thriller from international bestseller John Grisham,John Grisham,,Hachette UK,384,Fiction,English
10,Marketing (The Brian Tracy Success Library),Brian Tracy,,AMACOM,112,Economics,English
11,Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,4.5999999999999996,Harper Collins,224,Business,English
12,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,4.2000000000000002,Simon and Schuster,320,Detective,English
13,Bring Me Back,B A Paris,3.7999999999999998,HarperCollins UK,368,Fiction,English
14,How to Understand Business Finance: Edition 2,Bob Cinnamon,3.5,Kogan Page Publishers,176,Business,English
15,How To Win Friends and Influence People,Dale Carnegie,4.2999999999999998,Simon and Schuster,320,Psychology,English
16,Final Option: 'The best one yet',Clive Cussler,5,Penguin UK,400,Fiction,English
17,The Red Signal: An Agatha Christie Short Story,Agatha Christie,5,HarperCollins UK,40,Fiction,English
18,"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,4.2999999999999998,Hachette UK,672,Fiction,English
19,The Malady and Other Stories: An Andrzej Sapkowski Sampler,Andrzej Sapkowski,4.7999999999999998,Hachette UK,96,Fantasy,English
20,Tall Tales and Wee Stories: The Best of Billy Connolly,Billy Connolly,5,Hachette UK,336,Humor,English
21,Antiques Con,Barbara Allan,4.7999999999999998,Kensington Books,288,Fiction,English
22,"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,4.2999999999999998,Hachette UK,672,Fantasy,English
23,Antiques Chop,Barbara Allan,4.5,Kensington Books,240,Fiction,English
24,Principles: Life and Work,Ray Dalio,4.7000000000000002,Simon and Schuster,592,Business,English
25,Young Justice Vol. 1,Art Baltazar,4.0999999999999996,DC,164,Comics,English
26,Salem's Lot,Stephen King,4.4000000000000004,Hachette UK,300,Fiction,English
27,Bring Me Back,B A Paris,3.7999999999999998,HarperCollins UK,368,Crime,English
28,Little Girl Lost: A Lucy Black Thriller,Brian McGilloway,4,Harper Collins,336,Thrillers,English
29,Killer Blonde,Laura Levine,4,Kensington Books,288,Fiction,English
30,Final Option: 'The best one yet',Clive Cussler,5,Penguin UK,400,Thrillers,English
31,No Mercy: The brand new novel from the Queen of Crime,Martina Cole,,Hachette UK,416,Fiction,English
32,Antiques Knock-Off,Barbara Allan,4.2999999999999998,Kensington Publishing Corp.,240,Fiction,English
33,Platform Revolution: How Networked Markets Are Transforming the Economy—and How to Make Them Work for You,Geoffrey G. Parker,4.5,W. W. Norton & Company,256,Business,English
34,Total Control,David Baldacci,4,Pan Macmillan,624,Mystery,English
35,Antiques Knock-Off,Barbara Allan,4.2999999999999998,Kensington Publishing Corp.,240,Detective,English
36,Watching (The Making of Riley Paige—Book 1),Blake Pierce,4.5999999999999996,Blake Pierce,250,Mystery,English
37,Little Girl Lost: A Lucy Black Thriller,Brian McGilloway,4,Harper Collins,336,Mystery,English
38,A Trace of Vice (a Keri Locke Mystery--Book #3),Blake Pierce,4.7999999999999998,Blake Pierce,250,Fiction,English
39,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,4.2000000000000002,Simon and Schuster,320,Classics,English
40,The Infinite Game,Simon Sinek,3.7999999999999998,Penguin,272,Business,English
41,Killer Blonde,Laura Levine,4,Kensington Books,288,Detective,English
42,Total Control,David Baldacci,4,Pan Macmillan,624,Fiction,English
